Porcentaje de humedad,Voltaje1,Voltaje2,Voltaje3,Voltaje4
0.00,2280,2100,2250,2190
4.90,2150,1950,2135,
7.35,,,,2000
9.30,2030,1810,2015,
13.80,1915,1680,1720,
14.30,,,,1580
18.00,1825,1450,1520,
20.80,,,,1370
22.10,1730,1360,1415,
26.10,1380,1100,1305,
27.00,,,,1305
29.90,1315,1040,1250,
32.90,,,,1240
33.30,1270,1000,1200,
36.60,1215,965,1165,
38.50,,,,1140
40.00,1184,912,1110,
43.30,1160,875,1030,
43.80,,,,1050
46.50,1130,850,990,
48.80,,,,990
49.60,1115,840,960,
52.60,1065,815,930,
55.60,1025,810,905,
58.40,1020,795,890,
61.20,1010,770,875,
63.80,960,750,860,
66.40,920,700,845,
69.00,900,,830,
71.40,870,,,
73.80,855,,,
76.20,830,,,
