timestamp_utc,topic,payload
2025-10-26T21:22:23.051072,u01/sensors/gps,"20.67,-103.34"
2025-10-26T21:22:50.266016,u01/sensors/gps,"20.67,-103.34"
2025-10-26T21:25:04.167189,u01/sensors/gps,"20.67,-103.34"
2025-10-26T21:57:39.333970,u01/sensors/temperature,13
2025-10-26T21:57:39.422245,u01/sensors/gps,"20.6840,-103.3801"
2025-10-26T21:57:49.471040,u01/sensors/temperature,11
2025-10-26T21:57:49.526861,u01/sensors/gps,"20.6736,-103.3440"
2025-10-26T21:57:59.608167,u01/sensors/temperature,11
2025-10-26T21:57:59.695414,u01/sensors/gps,"20.6748,-103.3525"
2025-10-26T21:58:09.625679,u01/sensors/temperature,20
2025-10-26T21:58:09.733963,u01/sensors/gps,"20.6761,-103.3612"
2025-10-26T21:58:19.733330,u01/sensors/temperature,38
2025-10-26T21:58:19.824363,u01/sensors/gps,"20.6774,-103.3689"
2025-10-26T21:58:29.918406,u01/sensors/temperature,26
2025-10-26T21:58:29.968016,u01/sensors/gps,"20.6802,-103.3755"
2025-10-26T21:58:39.955220,u01/sensors/temperature,39
2025-10-26T21:58:40.031206,u01/sensors/gps,"20.6840,-103.3801"
2025-10-26T21:58:50.035771,u01/sensors/temperature,23
2025-10-26T21:58:50.138415,u01/sensors/gps,"20.6736,-103.3440"
2025-10-26T21:59:00.141287,u01/sensors/temperature,38
2025-10-26T21:59:00.230225,u01/sensors/gps,"20.6748,-103.3525"
2025-10-26T21:59:10.266965,u01/sensors/temperature,23
2025-10-26T21:59:10.329956,u01/sensors/gps,"20.6761,-103.3612"
2025-10-26T21:59:20.401705,u01/sensors/temperature,13
2025-10-26T21:59:20.455204,u01/sensors/gps,"20.6774,-103.3689"
2025-10-26T21:59:30.539548,u01/sensors/temperature,38
2025-10-26T21:59:30.607118,u01/sensors/gps,"20.6802,-103.3755"
2025-10-26T21:59:40.574422,u01/sensors/temperature,31
2025-10-26T21:59:40.621840,u01/sensors/gps,"20.6840,-103.3801"
2025-10-26T21:59:50.712165,u01/sensors/temperature,32
2025-10-26T21:59:50.760688,u01/sensors/gps,"20.6736,-103.3440"
2025-10-26T22:00:00.723348,u01/sensors/temperature,32
2025-10-26T22:00:00.842632,u01/sensors/gps,"20.6748,-103.3525"
2025-10-26T22:00:10.829206,u01/sensors/temperature,26
2025-10-26T22:00:10.929373,u01/sensors/gps,"20.6761,-103.3612"
2025-10-26T22:00:20.934617,u01/sensors/temperature,34
2025-10-26T22:00:21.042497,u01/sensors/gps,"20.6774,-103.3689"
2025-10-26T22:00:31.057423,u01/sensors/temperature,24
2025-10-26T22:00:31.125156,u01/sensors/gps,"20.6802,-103.3755"
2025-10-26T22:00:41.196048,u01/sensors/temperature,10
2025-10-26T22:00:41.259099,u01/sensors/gps,"20.6840,-103.3801"
2025-10-26T22:00:51.332569,u01/sensors/temperature,16
2025-10-26T22:00:51.380412,u01/sensors/gps,"20.6736,-103.3440"
2025-10-26T22:01:01.368375,u01/sensors/temperature,38
2025-10-26T22:01:01.573423,u01/sensors/gps,"20.6748,-103.3525"
2025-10-26T22:01:11.506302,u01/sensors/temperature,11
2025-10-26T22:01:11.557401,u01/sensors/gps,"20.6761,-103.3612"
2025-10-26T22:01:21.541545,u01/sensors/temperature,16
2025-10-26T22:01:21.626753,u01/sensors/gps,"20.6774,-103.3689"
2025-10-26T22:01:31.628968,u01/sensors/temperature,22
2025-10-26T22:01:31.724160,u01/sensors/gps,"20.6802,-103.3755"
2025-10-26T22:01:41.815811,u01/sensors/temperature,26
2025-10-26T22:01:41.863152,u01/sensors/gps,"20.6840,-103.3801"
2025-10-26T22:01:51.851545,u01/sensors/temperature,39
2025-10-26T22:01:51.922723,u01/sensors/gps,"20.6736,-103.3440"
2025-10-26T22:02:01.989121,u01/sensors/temperature,27
2025-10-26T22:02:02.037913,u01/sensors/gps,"20.6748,-103.3525"
2025-10-26T22:02:12.126961,u01/sensors/temperature,26
2025-10-26T22:02:12.172457,u01/sensors/gps,"20.6761,-103.3612"
2025-10-26T22:02:22.161659,u01/sensors/temperature,36
2025-10-26T22:02:22.225539,u01/sensors/gps,"20.6774,-103.3689"
2025-10-26T22:02:32.299230,u01/sensors/temperature,33
2025-10-26T22:02:32.503980,u01/sensors/gps,"20.6802,-103.3755"
2025-10-26T22:02:42.348466,u01/sensors/temperature,25
2025-10-26T22:02:42.425482,u01/sensors/gps,"20.6840,-103.3801"
2025-10-26T22:02:52.471549,u01/sensors/temperature,13
2025-10-26T22:02:52.528544,u01/sensors/gps,"20.6736,-103.3440"
2025-10-26T22:03:02.610170,u01/sensors/temperature,26
2025-10-26T22:03:02.691490,u01/sensors/gps,"20.6748,-103.3525"
2025-10-26T22:03:12.626829,u01/sensors/temperature,21
2025-10-26T22:03:12.730554,u01/sensors/gps,"20.6761,-103.3612"
2025-10-26T22:03:22.782403,u01/sensors/temperature,33
2025-10-26T22:03:22.834087,u01/sensors/gps,"20.6774,-103.3689"
2025-10-26T22:03:32.832620,u01/sensors/temperature,25
2025-10-26T22:03:32.933106,u01/sensors/gps,"20.6802,-103.3755"
2025-10-26T22:03:42.936623,u01/sensors/temperature,36
2025-10-26T22:03:43.025306,u01/sensors/gps,"20.6840,-103.3801"
2025-10-26T22:03:53.036925,u01/sensors/temperature,39
2025-10-26T22:03:53.132237,u01/sensors/gps,"20.6736,-103.3440"
2025-10-26T22:04:03.232191,u01/sensors/temperature,38
2025-10-26T22:04:03.277266,u01/sensors/gps,"20.6748,-103.3525"
2025-10-26T22:04:13.266676,u01/sensors/temperature,19
2025-10-26T22:04:13.323365,u01/sensors/gps,"20.6761,-103.3612"
2025-10-26T22:04:23.403520,u01/sensors/temperature,12
2025-10-26T22:04:23.497797,u01/sensors/gps,"20.6774,-103.3689"
2025-10-26T22:04:33.437862,u01/sensors/temperature,11
2025-10-26T22:04:33.640076,u01/sensors/gps,"20.6802,-103.3755"
2025-10-26T22:04:43.576105,u01/sensors/temperature,31
2025-10-26T22:04:43.635864,u01/sensors/gps,"20.6840,-103.3801"
2025-10-26T22:04:53.715364,u01/sensors/temperature,39
2025-10-26T22:04:53.862098,u01/sensors/gps,"20.6736,-103.3440"
2025-10-26T22:05:03.748496,u01/sensors/temperature,13
2025-10-26T22:05:03.833792,u01/sensors/gps,"20.6748,-103.3525"
2025-10-26T22:05:13.831897,u01/sensors/temperature,28
2025-10-26T22:05:13.928065,u01/sensors/gps,"20.6761,-103.3612"
2025-10-26T22:05:24.023490,u01/sensors/temperature,16
2025-10-26T22:05:24.073997,u01/sensors/gps,"20.6774,-103.3689"
2025-10-26T22:05:34.059095,u01/sensors/temperature,32
2025-10-26T22:05:34.129712,u01/sensors/gps,"20.6802,-103.3755"
2025-10-26T22:05:44.196522,u01/sensors/temperature,31
2025-10-26T22:05:44.245279,u01/sensors/gps,"20.6840,-103.3801"
